Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
85.00,72.50,85.00,82.50,73.75,79.75±6.15
66.25,77.50,80.00,83.75,78.75,77.25±6.58
55.00,58.75,60.00,48.75,62.50,57.00±5.35
93.75,96.25,93.75,95.00,93.75,94.50±1.12
56.25,52.50,57.50,62.50,55.00,56.75±3.71
87.50,88.75,87.50,82.50,85.00,86.25±2.50
93.75,98.75,96.25,100.00,97.50,97.25±2.40
66.25,70.00,77.50,72.50,67.50,70.75±4.47
61.25,63.75,77.50,80.00,70.00,70.50±8.23
60.00,78.75,86.25,80.00,73.75,75.75±9.87
100.00,98.75,98.75,98.75,100.00,99.25±0.68
86.25,92.50,88.75,88.75,90.00,89.25±2.27
53.75,55.00,68.75,56.25,57.50,58.25±6.03
85.00,87.50,78.75,82.50,83.75,83.50±3.24
85.00,72.50,81.25,78.75,70.00,77.50±6.19
87.50,93.75,96.25,91.25,88.75,91.50±3.58
86.25,77.50,77.50,77.50,80.00,79.75±3.79
95.00,95.00,96.25,97.50,96.25,96.00±1.05
78.75,78.75,66.25,67.50,62.50,70.75±7.53
43.75,58.75,50.00,47.50,63.75,52.75±8.26
73.75,72.50,81.25,80.00,80.00,77.50±4.05
55.00,62.50,68.75,56.25,45.00,57.50±8.88
26.25,36.25,27.50,33.75,28.75,30.50±4.29
60.00,60.00,48.75,60.00,46.25,55.00±6.90
75.00,86.25,81.25,86.25,75.00,80.75±5.63
70.00,66.25,51.25,52.50,58.75,59.75±8.26
81.25,85.00,83.75,83.75,82.50,83.25±1.43
62.50,70.00,65.00,67.50,73.75,67.75±4.37
66.25,77.50,87.50,70.00,78.75,76.00±8.26
98.75,96.25,98.75,96.25,96.25,97.25±1.37
90.00,100.00,98.75,88.75,97.50,95.00±5.23
98.75,95.00,97.50,97.50,98.75,97.50±1.53
70.00,81.25,85.00,80.00,65.00,76.25±8.39
36.25,37.50,23.75,33.75,31.25,32.50±5.45
30.00,53.75,55.00,47.50,56.25,48.50±10.88
98.75,100.00,100.00,100.00,100.00,99.75±0.56
95.00,93.75,93.75,92.50,95.00,94.00±1.05
88.75,93.75,90.00,91.25,83.75,89.50±3.71
91.25,92.50,92.50,93.75,90.00,92.00±1.43
68.75,65.00,63.75,72.50,67.50,67.50±3.42
91.25,90.00,83.75,90.00,83.75,87.75±3.69
67.50,70.00,73.75,81.25,73.75,73.25±5.20
98.75,97.50,96.25,98.75,96.25,97.50±1.25
88.75,96.25,93.75,93.75,92.50,93.00±2.74
48.75,58.75,56.25,65.00,42.50,54.25±8.78
72.50,72.50,68.75,63.75,72.50,70.00±3.85
26.25,31.25,37.50,25.00,37.50,31.50±5.96
87.50,91.25,91.25,88.75,81.25,88.00±4.11
97.50,97.50,100.00,100.00,97.50,98.50±1.37
83.75,93.75,95.00,88.75,88.75,90.00±4.51
52.50,52.50,43.75,46.25,36.25,46.25±6.79
90.00,93.75,90.00,85.00,77.50,87.25±6.27
77.50,85.00,75.00,75.00,75.00,77.50±4.33
53.75,51.25,33.75,45.00,52.50,47.25±8.26
74.05,77.29,76.60,76.00,74.21,75.63±18.59
