Fold1,Fold2,Mean±Std
54.17,63.33,58.75±6.48
57.50,51.67,54.58±4.12
56.67,50.00,53.33±4.71
86.67,91.67,89.17±3.54
46.67,60.00,53.33±9.43
78.33,80.83,79.58±1.77
96.67,95.00,95.83±1.18
57.50,60.00,58.75±1.77
58.33,60.83,59.58±1.77
74.17,66.67,70.42±5.30
100.00,98.33,99.17±1.18
86.67,86.67,86.67±0.00
66.67,62.50,64.58±2.95
60.83,44.17,52.50±11.79
57.50,74.17,65.83±11.79
80.83,82.50,81.67±1.18
71.67,68.33,70.00±2.36
96.67,98.33,97.50±1.18
53.33,65.00,59.17±8.25
35.83,36.67,36.25±0.59
62.50,72.50,67.50±7.07
64.17,50.83,57.50±9.43
30.83,26.67,28.75±2.95
43.33,44.17,43.75±0.59
72.50,85.00,78.75±8.84
50.00,59.17,54.58±6.48
57.50,79.17,68.33±15.32
78.33,75.83,77.08±1.77
62.50,70.00,66.25±5.30
92.50,86.67,89.58±4.12
100.00,98.33,99.17±1.18
96.67,96.67,96.67±0.00
45.00,25.00,35.00±14.14
38.33,37.50,37.92±0.59
40.83,35.83,38.33±3.54
100.00,100.00,100.00±0.00
93.33,82.50,87.92±7.66
70.83,76.67,73.75±4.12
80.00,81.67,80.83±1.18
66.67,53.33,60.00±9.43
85.83,80.83,83.33±3.54
67.50,51.67,59.58±11.20
96.67,96.67,96.67±0.00
95.00,98.33,96.67±2.36
47.50,47.50,47.50±0.00
64.17,70.83,67.50±4.71
17.50,25.00,21.25±5.30
66.67,62.50,64.58±2.95
93.33,95.00,94.17±1.18
45.83,75.00,60.42±20.62
40.83,45.83,43.33±3.54
62.50,67.50,65.00±3.54
55.00,66.67,60.83±8.25
41.67,28.33,35.00±9.43
66.71,67.52,67.11±20.37
