Fold1,Fold2,Mean±Std
86.67,87.50,87.08±0.59
80.00,91.67,85.83±8.25
70.83,60.00,65.42±7.66
93.33,96.67,95.00±2.36
51.67,64.17,57.92±8.84
98.33,85.83,92.08±8.84
96.67,95.00,95.83±1.18
79.17,78.33,78.75±0.59
77.50,85.83,81.67±5.89
82.50,90.83,86.67±5.89
100.00,98.33,99.17±1.18
95.00,98.33,96.67±2.36
80.83,72.50,76.67±5.89
93.33,75.83,84.58±12.37
74.17,84.17,79.17±7.07
90.00,96.67,93.33±4.71
86.67,81.67,84.17±3.54
96.67,100.00,98.33±2.36
75.00,67.50,71.25±5.30
76.67,70.83,73.75±4.12
80.83,86.67,83.75±4.12
69.17,67.50,68.33±1.18
43.33,35.83,39.58±5.30
61.67,64.17,62.92±1.77
83.33,93.33,88.33±7.07
85.00,71.67,78.33±9.43
91.67,93.33,92.50±1.18
75.00,82.50,78.75±5.30
80.83,72.50,76.67±5.89
96.67,98.33,97.50±1.18
96.67,100.00,98.33±2.36
98.33,98.33,98.33±0.00
80.00,77.50,78.75±1.77
46.67,51.67,49.17±3.54
56.67,75.00,65.83±12.96
100.00,100.00,100.00±0.00
95.00,93.33,94.17±1.18
93.33,90.00,91.67±2.36
91.67,90.00,90.83±1.18
82.50,67.50,75.00±10.61
96.67,90.83,93.75±4.12
72.50,80.83,76.67±5.89
98.33,96.67,97.50±1.18
95.00,100.00,97.50±3.54
58.33,70.00,64.17±8.25
95.83,87.50,91.67±5.89
36.67,30.83,33.75±4.12
93.33,90.00,91.67±2.36
98.33,100.00,99.17±1.18
95.00,96.67,95.83±1.18
48.33,57.50,52.92±6.48
96.67,89.17,92.92±5.30
94.17,85.00,89.58±6.48
66.67,50.83,58.75±11.20
82.21,81.79,82.00±15.77
