Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
30.00,36.25,33.75,30.00,32.50,32.50±2.65
37.50,40.00,46.25,41.25,38.75,40.75±3.38
38.75,21.25,32.50,31.25,25.00,29.75±6.81
53.75,67.50,72.50,77.50,66.25,67.50±8.88
27.50,32.50,28.75,36.25,27.50,30.50±3.81
38.75,43.75,50.00,36.25,36.25,41.00±5.89
46.25,48.75,52.50,48.75,58.75,51.00±4.87
32.50,31.25,17.50,27.50,25.00,26.75±5.97
35.00,28.75,26.25,27.50,41.25,31.75±6.29
43.75,38.75,35.00,37.50,40.00,39.00±3.24
75.00,82.50,87.50,81.25,80.00,81.25±4.51
38.75,33.75,30.00,55.00,33.75,38.25±9.87
30.00,31.25,20.00,20.00,32.50,26.75±6.22
28.75,35.00,28.75,32.50,25.00,30.00±3.85
27.50,35.00,28.75,33.75,35.00,32.00±3.60
42.50,51.25,47.50,45.00,38.75,45.00±4.76
38.75,41.25,47.50,47.50,40.00,43.00±4.20
56.25,80.00,81.25,76.25,80.00,74.75±10.51
35.00,31.25,42.50,30.00,30.00,33.75±5.30
26.25,25.00,35.00,28.75,31.25,29.25±4.01
43.75,33.75,45.00,36.25,36.25,39.00±5.03
23.75,23.75,17.50,28.75,28.75,24.50±4.64
21.25,18.75,31.25,21.25,27.50,24.00±5.18
30.00,28.75,30.00,32.50,28.75,30.00±1.53
17.50,43.75,38.75,35.00,32.50,33.50±9.90
21.25,30.00,25.00,37.50,26.25,28.00±6.16
41.25,33.75,43.75,47.50,43.75,42.00±5.12
23.75,43.75,21.25,32.50,35.00,31.25±9.06
28.75,26.25,32.50,36.25,25.00,29.75±4.63
61.25,63.75,53.75,70.00,67.50,63.25±6.29
56.25,63.75,80.00,65.00,62.50,65.50±8.78
55.00,65.00,62.50,53.75,70.00,61.25±6.85
30.00,26.25,30.00,37.50,27.50,30.25±4.37
28.75,23.75,28.75,25.00,21.25,25.50±3.26
32.50,32.50,25.00,26.25,33.75,30.00±4.05
71.25,81.25,85.00,82.50,82.50,80.50±5.35
61.25,48.75,58.75,55.00,50.00,54.75±5.41
42.50,47.50,50.00,53.75,35.00,45.75±7.27
50.00,38.75,41.25,35.00,31.25,39.25±7.10
40.00,26.25,27.50,30.00,31.25,31.00±5.41
40.00,47.50,47.50,47.50,48.75,46.25±3.54
35.00,35.00,37.50,32.50,31.25,34.25±2.44
70.00,46.25,50.00,61.25,55.00,56.50±9.41
46.25,45.00,66.25,47.50,53.75,51.75±8.78
21.25,32.50,30.00,32.50,22.50,27.75±5.48
32.50,27.50,41.25,21.25,38.75,32.25±8.17
25.00,26.25,17.50,27.50,28.75,25.00±4.42
31.25,31.25,32.50,37.50,41.25,34.75±4.45
66.25,65.00,63.75,65.00,57.50,63.50±3.47
41.25,51.25,43.75,33.75,50.00,44.00±7.09
32.50,27.50,15.00,33.75,21.25,26.00±7.88
42.50,31.25,33.75,51.25,28.75,37.50±9.27
35.00,35.00,33.75,28.75,36.25,33.75±2.93
21.25,26.25,30.00,26.25,36.25,28.00±5.56
38.94,40.05,41.00,41.32,40.07,40.27±14.72
