Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
90.0,86.25,88.75,90.0,91.25,89.25±1.90,53.58±3.46
95.0,95.0,90.0,95.0,92.5,93.50±2.24,62.18±4.72
61.25,68.75,72.5,72.5,68.75,68.75±4.59,24.57±4.79
100.0,100.0,92.5,100.0,96.25,97.75±3.35,73.65±9.20
66.25,68.75,70.0,63.75,53.75,64.50±6.47,20.37±5.88
96.25,93.75,93.75,95.0,96.25,95.00±1.25,65.45±2.92
100.0,100.0,100.0,100.0,100.0,100.00±0.00,80.00±0.00
83.75,85.0,83.75,87.5,80.0,84.00±2.71,44.61±4.29
90.0,90.0,80.0,87.5,85.0,86.50±4.18,48.93±6.91
85.0,90.0,90.0,83.75,88.75,87.50±2.93,50.51±5.09
100.0,100.0,100.0,100.0,100.0,100.00±0.00,80.00±0.00
100.0,98.75,98.75,97.5,98.75,98.75±0.88,75.53±2.96
60.0,76.25,80.0,73.75,86.25,75.25±9.74,33.17±11.87
92.5,97.5,92.5,93.75,95.0,94.25±2.09,63.87±4.92
91.25,95.0,92.5,93.75,92.5,93.00±1.43,61.00±3.06
98.75,97.5,100.0,97.5,97.5,98.25±1.12,74.07±3.68
83.75,75.0,85.0,88.75,82.5,83.00±5.05,43.32±7.59
100.0,97.5,98.75,100.0,98.75,99.00±1.05,76.47±3.56
98.75,90.0,98.75,95.0,93.75,95.25±3.69,66.70±8.76
66.25,73.75,75.0,72.5,70.0,71.50±3.47,27.58±3.95
88.75,86.25,92.5,88.75,88.75,89.00±2.24,53.15±4.21
75.0,63.75,65.0,58.75,65.0,65.50±5.90,21.31±6.26
32.5,25.0,32.5,40.0,31.25,32.25±5.33,1.07±1.20
76.25,87.5,82.5,85.0,77.5,81.75±4.81,41.37±7.23
90.0,97.5,95.0,95.0,91.25,93.75±3.06,62.93±6.79
87.5,90.0,88.75,93.75,83.75,88.75±3.64,52.89±6.73
95.0,97.5,93.75,96.25,95.0,95.50±1.43,66.67±3.48
82.5,88.75,92.5,85.0,82.5,86.25±4.33,48.57±7.62
90.0,88.75,96.25,91.25,91.25,91.50±2.85,58.11±6.08
100.0,100.0,98.75,100.0,100.0,99.75±0.56,79.07±2.09
100.0,100.0,100.0,95.0,100.0,99.00±2.24,77.07±6.54
100.0,100.0,100.0,100.0,98.75,99.75±0.56,79.07±2.09
82.5,95.0,92.5,92.5,92.5,91.00±4.87,57.43±8.87
47.5,48.75,51.25,55.0,56.25,51.75±3.81,9.58±2.59
43.75,66.25,55.0,71.25,48.75,57.00±11.58,14.59±9.52
96.25,98.75,100.0,100.0,100.0,99.00±1.63,76.74±5.09
97.5,97.5,97.5,96.25,98.75,97.50±0.88,71.75±2.45
100.0,98.75,98.75,98.75,100.0,99.25±0.68,77.20±2.56
97.5,96.25,93.75,92.5,91.25,94.25±2.59,63.96±5.95
81.25,78.75,75.0,75.0,75.0,77.00±2.88,34.41±3.92
91.25,92.5,93.75,86.25,96.25,92.00±3.71,59.26±7.44
92.5,93.75,95.0,91.25,96.25,93.75±1.98,62.70±4.37
100.0,100.0,100.0,100.0,100.0,100.00±0.00,80.00±0.00
98.75,100.0,98.75,98.75,100.0,99.25±0.68,77.20±2.56
70.0,70.0,77.5,63.75,68.75,70.00±4.92,26.00±5.68
93.75,80.0,81.25,90.0,91.25,87.25±6.21,50.70±10.74
32.5,28.75,45.0,27.5,33.75,33.50±6.93,1.53±2.22
92.5,95.0,96.25,95.0,96.25,95.00±1.53,65.48±3.48
98.75,97.5,98.75,100.0,98.75,98.75±0.88,75.53±2.96
95.0,97.5,98.75,93.75,91.25,95.25±2.98,66.45±7.17
65.0,71.25,58.75,61.25,65.0,64.25±4.73,19.94±4.71
98.75,97.5,96.25,95.0,98.75,97.25±1.63,71.22±4.36
86.25,97.5,96.25,95.0,95.0,94.00±4.45,63.80±9.11
71.25,61.25,68.75,65.0,60.0,65.25±4.79,20.93±4.83
85.35,86.41,86.83,86.3,85.67,86.11±16.16,53.95±22.26
