Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
82.5,88.75,87.5,86.25,90.0,87.00±2.88,49.63±4.88
96.25,96.25,91.25,95.0,91.25,94.00±2.56,63.36±5.65
62.5,71.25,72.5,63.75,68.75,67.75±4.45,23.48±4.70
100.0,100.0,91.25,96.25,96.25,96.75±3.60,70.82±9.52
66.25,68.75,68.75,63.75,53.75,64.25±6.22,20.09±5.59
91.25,92.5,92.5,92.5,96.25,93.00±1.90,61.07±4.24
100.0,100.0,100.0,100.0,100.0,100.00±0.00,80.00±0.00
81.25,83.75,83.75,85.0,76.25,82.00±3.49,41.57±5.08
85.0,90.0,82.5,91.25,81.25,86.00±4.45,48.15±7.62
85.0,90.0,90.0,83.75,88.75,87.50±2.93,50.51±5.09
100.0,100.0,100.0,100.0,100.0,100.00±0.00,80.00±0.00
100.0,98.75,98.75,97.5,98.75,98.75±0.88,75.53±2.96
61.25,76.25,78.75,77.5,86.25,76.00±9.12,34.01±11.20
92.5,95.0,92.5,93.75,92.5,93.25±1.12,61.51±2.45
91.25,93.75,90.0,93.75,90.0,91.75±1.90,58.44±3.87
98.75,97.5,100.0,93.75,97.5,97.50±2.34,72.24±6.41
83.75,72.5,83.75,87.5,81.25,81.75±5.63,41.48±8.04
100.0,97.5,98.75,100.0,97.5,98.75±1.25,75.73±4.17
98.75,90.0,97.5,97.5,92.5,95.25±3.79,66.69±8.80
67.5,70.0,71.25,72.5,70.0,70.25±1.85,26.05±2.08
90.0,88.75,92.5,88.75,88.75,89.75±1.63,54.50±3.17
75.0,63.75,65.0,57.5,62.5,64.75±6.40,20.63±6.69
32.5,25.0,32.5,40.0,30.0,32.00±5.42,1.03±1.22
71.25,87.5,82.5,85.0,76.25,80.50±6.65,39.81±9.46
88.75,97.5,95.0,95.0,90.0,93.25±3.71,61.98±7.99
86.25,91.25,88.75,96.25,83.75,89.25±4.81,54.11±9.39
95.0,92.5,95.0,96.25,95.0,94.75±1.37,64.88±3.09
82.5,88.75,92.5,85.0,81.25,86.00±4.63,48.19±8.05
90.0,88.75,96.25,91.25,91.25,91.50±2.85,58.11±6.08
100.0,98.75,98.75,97.5,100.0,99.00±1.05,76.47±3.56
100.0,100.0,100.0,95.0,100.0,99.00±2.24,77.07±6.54
100.0,100.0,100.0,100.0,97.5,99.50±1.12,78.33±3.73
77.5,95.0,92.5,92.5,90.0,89.50±6.94,55.00±11.79
47.5,45.0,51.25,57.5,55.0,51.25±5.15,9.36±3.42
41.25,66.25,53.75,70.0,46.25,55.50±12.42,13.60±9.70
96.25,98.75,100.0,100.0,100.0,99.00±1.63,76.74±5.09
97.5,97.5,97.5,96.25,98.75,97.50±0.88,71.75±2.45
98.75,98.75,97.5,98.75,100.0,98.75±0.88,75.53±2.96
97.5,93.75,93.75,86.25,90.0,92.25±4.28,59.97±8.87
80.0,70.0,73.75,72.5,71.25,73.50±3.89,30.02±4.99
90.0,93.75,93.75,86.25,96.25,92.00±3.91,59.31±7.86
92.5,93.75,95.0,91.25,96.25,93.75±1.98,62.70±4.37
98.75,100.0,100.0,100.0,100.0,99.75±0.56,79.07±2.09
98.75,100.0,98.75,98.75,100.0,99.25±0.68,77.20±2.56
66.25,70.0,72.5,63.75,66.25,67.75±3.47,23.40±3.74
93.75,81.25,81.25,83.75,90.0,86.00±5.62,48.41±9.92
30.0,31.25,43.75,28.75,33.75,33.50±6.02,1.41±1.92
91.25,93.75,92.5,95.0,96.25,93.75±1.98,62.70±4.37
98.75,97.5,98.75,100.0,97.5,98.50±1.05,74.80±3.44
92.5,97.5,95.0,92.5,91.25,93.75±2.50,62.82±5.75
65.0,71.25,58.75,61.25,65.0,64.25±4.73,19.94±4.71
96.25,96.25,95.0,95.0,98.75,96.25±1.53,68.57±4.07
81.25,97.5,92.5,95.0,96.25,92.50±6.56,61.11±12.44
71.25,60.0,70.0,65.0,60.0,65.25±5.33,20.99±5.35
84.4,86.0,86.25,85.72,84.88,85.45±16.22,52.78±22.13
