Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
68.75,63.75,78.75,70.00,83.75,73.00±8.08
53.75,31.25,91.25,48.75,25.00,50.00±25.95
25.00,43.75,32.50,36.25,47.50,37.00±8.95
98.75,100.00,83.75,25.00,25.00,66.50±38.42
32.50,35.00,41.25,48.75,25.00,36.50±8.99
53.75,25.00,25.00,26.25,72.50,40.50±21.70
88.75,100.00,63.75,95.00,66.25,82.75±16.71
63.75,25.00,68.75,63.75,26.25,49.50±21.89
73.75,60.00,65.00,70.00,57.50,65.25±6.75
46.25,87.50,25.00,71.25,88.75,63.75±27.63
100.00,100.00,73.75,100.00,98.75,94.50±11.61
98.75,100.00,91.25,85.00,93.75,93.75±6.06
31.25,26.25,45.00,46.25,57.50,41.25±12.53
81.25,25.00,88.75,73.75,95.00,72.75±27.86
66.25,82.50,86.25,71.25,66.25,74.50±9.34
82.50,58.75,75.00,96.25,97.50,82.00±16.07
53.75,28.75,26.25,48.75,45.00,40.50±12.30
82.50,25.00,50.00,97.50,50.00,61.00±28.86
47.50,72.50,87.50,25.00,46.25,55.75±24.46
36.25,25.00,25.00,37.50,25.00,29.75±6.52
57.50,56.25,25.00,80.00,60.00,55.75±19.72
60.00,56.25,36.25,26.25,42.50,44.25±13.99
25.00,25.00,27.50,38.75,22.50,27.75±6.40
75.00,70.00,66.25,58.75,27.50,59.50±18.85
82.50,31.25,26.25,46.25,81.25,53.50±26.93
87.50,86.25,71.25,87.50,68.75,80.25±9.41
93.75,92.50,72.50,67.50,72.50,79.75±12.39
75.00,83.75,71.25,61.25,86.25,75.50±10.06
53.75,25.00,25.00,61.25,88.75,50.75±26.88
100.00,88.75,98.75,96.25,96.25,96.00±4.37
73.75,76.25,100.00,91.25,63.75,81.00±14.48
91.25,75.00,30.00,60.00,96.25,70.50±26.76
82.50,81.25,57.50,28.75,65.00,63.00±21.91
27.50,23.75,40.00,25.00,26.25,28.50±6.58
26.25,46.25,46.25,42.50,37.50,39.75±8.36
50.00,50.00,78.75,83.75,50.00,62.50±17.21
97.50,92.50,96.25,98.75,96.25,96.25±2.34
100.00,95.00,72.50,25.00,55.00,69.50±30.74
95.00,63.75,83.75,96.25,93.75,86.50±13.65
65.00,45.00,38.75,61.25,42.50,50.50±11.81
90.00,80.00,66.25,25.00,48.75,62.00±25.84
92.50,96.25,37.50,88.75,95.00,82.00±25.04
85.00,76.25,98.75,26.25,100.00,77.25±30.17
83.75,86.25,100.00,98.75,100.00,93.75±8.05
55.00,33.75,56.25,56.25,48.75,50.00±9.60
87.50,46.25,73.75,75.00,85.00,73.50±16.38
25.00,25.00,31.25,25.00,23.75,26.00±2.98
85.00,76.25,77.50,87.50,81.25,81.50±4.79
92.50,97.50,80.00,67.50,92.50,86.00±12.20
97.50,93.75,93.75,25.00,83.75,78.75±30.48
45.00,53.75,65.00,40.00,55.00,51.75±9.67
77.50,98.75,88.75,75.00,98.75,87.75±11.30
50.00,76.25,62.50,32.50,65.00,57.25±16.69
33.75,50.00,48.75,37.50,60.00,46.00±10.51
68.59,62.38,62.36,59.86,64.86,63.61±19.45
