Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
43.06,37.50,50.00,45.14,34.72,42.08±6.09
17.36,22.92,22.92,18.75,23.61,21.11±2.85
33.33,51.39,52.08,50.00,34.72,44.31±9.43
77.78,88.89,75.00,87.50,75.69,80.97±6.69
95.14,95.83,90.28,95.14,85.42,92.36±4.47
73.61,79.86,91.67,85.42,93.06,84.72±8.14
80.56,78.47,55.56,75.00,81.25,74.17±10.68
90.28,73.61,90.28,91.67,89.58,87.08±7.57
76.39,75.00,72.92,61.81,58.33,68.89±8.24
22.92,28.47,15.97,16.67,30.56,22.92±6.64
61.04,63.19,61.67,62.71,60.69,61.86±25.56
