Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
82.50,75.00,78.75,88.75,81.25,81.25±5.08
78.75,70.00,66.25,83.75,80.00,75.75±7.32
57.50,61.25,62.50,56.25,60.00,59.50±2.59
95.00,95.00,92.50,95.00,96.25,94.75±1.37
58.75,58.75,57.50,62.50,50.00,57.50±4.59
85.00,87.50,82.50,82.50,83.75,84.25±2.09
98.75,96.25,92.50,98.75,97.50,96.75±2.59
68.75,68.75,68.75,76.25,66.25,69.75±3.79
71.25,67.50,71.25,73.75,70.00,70.75±2.27
73.75,86.25,73.75,72.50,81.25,77.50±5.99
98.75,98.75,98.75,98.75,98.75,98.75±0.00
90.00,92.50,87.50,87.50,93.75,90.25±2.85
65.00,50.00,67.50,58.75,63.75,61.00±6.93
75.00,88.75,80.00,81.25,88.75,82.75±5.96
83.75,77.50,73.75,78.75,71.25,77.00±4.81
92.50,93.75,95.00,92.50,82.50,91.25±5.00
83.75,80.00,78.75,80.00,85.00,81.50±2.71
97.50,96.25,96.25,98.75,96.25,97.00±1.12
81.25,80.00,77.50,70.00,63.75,74.50±7.43
58.75,52.50,57.50,58.75,48.75,55.25±4.45
72.50,80.00,85.00,78.75,77.50,78.75±4.51
62.50,65.00,60.00,56.25,58.75,60.50±3.38
30.00,35.00,27.50,38.75,31.25,32.50±4.42
60.00,66.25,58.75,50.00,61.25,59.25±5.90
71.25,91.25,81.25,90.00,73.75,81.50±9.12
60.00,67.50,55.00,48.75,51.25,56.50±7.47
83.75,85.00,86.25,88.75,77.50,84.25±4.20
62.50,75.00,68.75,65.00,65.00,67.25±4.87
68.75,87.50,88.75,80.00,80.00,81.00±7.97
97.50,97.50,98.75,98.75,96.25,97.75±1.05
85.00,100.00,97.50,88.75,96.25,93.50±6.34
95.00,91.25,98.75,95.00,95.00,95.00±2.65
75.00,70.00,85.00,83.75,62.50,75.25±9.45
35.00,37.50,27.50,37.50,16.25,30.75±9.08
36.25,47.50,60.00,43.75,58.75,49.25±10.10
96.25,100.00,98.75,97.50,100.00,98.50±1.63
95.00,93.75,96.25,92.50,91.25,93.75±1.98
88.75,88.75,88.75,86.25,90.00,88.50±1.37
90.00,56.25,90.00,92.50,92.50,84.25±15.70
76.25,68.75,62.50,80.00,70.00,71.50±6.81
90.00,86.25,87.50,87.50,83.75,87.00±2.27
73.75,81.25,76.25,68.75,71.25,74.25±4.81
97.50,98.75,98.75,95.00,97.50,97.50±1.53
90.00,96.25,95.00,93.75,91.25,93.25±2.59
57.50,48.75,51.25,52.50,41.25,50.25±5.96
67.50,75.00,78.75,68.75,73.75,72.75±4.63
26.25,27.50,35.00,25.00,35.00,29.75±4.87
91.25,85.00,87.50,82.50,83.75,86.00±3.47
100.00,100.00,100.00,98.75,98.75,99.50±0.68
80.00,93.75,93.75,87.50,88.75,88.75±5.66
32.50,47.50,50.00,53.75,30.00,42.75±10.77
92.50,90.00,85.00,85.00,81.25,86.75±4.47
78.75,85.00,68.75,65.00,77.50,75.00±8.05
47.50,51.25,35.00,58.75,43.75,47.25±8.81
75.23,76.78,76.23,76.11,74.10,75.69±18.37
