Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
67.50,85.00,87.50,78.75,91.25,82.00±9.30
92.50,96.25,92.50,93.75,91.25,93.25±1.90
60.00,80.00,53.75,77.50,77.50,69.75±12.00
100.00,98.75,96.25,97.50,97.50,98.00±1.43
55.00,70.00,63.75,65.00,60.00,62.75±5.62
88.75,95.00,95.00,95.00,95.00,93.75±2.80
97.50,100.00,100.00,100.00,100.00,99.50±1.12
80.00,86.25,85.00,88.75,86.25,85.25±3.24
91.25,91.25,87.50,87.50,82.50,88.00±3.60
86.25,90.00,95.00,91.25,91.25,90.75±3.14
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,97.50,97.50,98.75,98.75,98.50±1.05
60.00,80.00,77.50,61.25,71.25,70.00±9.14
81.25,97.50,91.25,95.00,87.50,90.50±6.41
92.50,97.50,95.00,97.50,95.00,95.50±2.09
92.50,100.00,97.50,98.75,91.25,96.00±3.89
82.50,71.25,60.00,56.25,78.75,69.75±11.44
100.00,98.75,100.00,100.00,98.75,99.50±0.68
93.75,93.75,93.75,95.00,93.75,94.00±0.56
66.25,82.50,82.50,72.50,70.00,74.75±7.42
85.00,91.25,85.00,85.00,97.50,88.75±5.59
75.00,55.00,52.50,53.75,60.00,59.25±9.25
18.75,42.50,28.75,33.75,33.75,31.50±8.68
77.50,80.00,85.00,76.25,77.50,79.25±3.49
82.50,98.75,92.50,91.25,90.00,91.00±5.82
83.75,66.25,85.00,91.25,87.50,82.75±9.66
91.25,97.50,92.50,93.75,97.50,94.50±2.88
87.50,92.50,88.75,86.25,82.50,87.50±3.64
91.25,86.25,92.50,91.25,92.50,90.75±2.59
100.00,100.00,100.00,98.75,98.75,99.50±0.68
100.00,100.00,100.00,90.00,97.50,97.50±4.33
98.75,98.75,98.75,98.75,98.75,98.75±0.00
73.75,92.50,92.50,45.00,90.00,78.75±20.43
51.25,51.25,51.25,61.25,35.00,50.00±9.44
35.00,55.00,60.00,68.75,58.75,55.50±12.52
97.50,100.00,100.00,100.00,98.75,99.25±1.12
98.75,97.50,98.75,98.75,97.50,98.25±0.68
100.00,98.75,97.50,100.00,93.75,98.00±2.59
96.25,88.75,83.75,83.75,78.75,86.25±6.61
83.75,87.50,76.25,77.50,73.75,79.75±5.69
93.75,92.50,93.75,91.25,97.50,93.75±2.34
88.75,93.75,95.00,95.00,95.00,93.50±2.71
100.00,100.00,100.00,100.00,100.00,100.00±0.00
96.25,95.00,87.50,96.25,96.25,94.25±3.81
72.50,71.25,73.75,70.00,56.25,68.75±7.13
96.25,90.00,90.00,92.50,81.25,90.00±5.52
33.75,37.50,43.75,27.50,42.50,37.00±6.65
93.75,95.00,93.75,95.00,91.25,93.75±1.53
97.50,100.00,100.00,100.00,97.50,99.00±1.37
93.75,96.25,98.75,97.50,91.25,95.50±3.01
47.50,65.00,63.75,67.50,63.75,61.50±7.97
95.00,98.75,93.75,100.00,96.25,96.75±2.59
88.75,91.25,91.25,87.50,92.50,90.25±2.05
68.75,70.00,43.75,47.50,58.75,57.75±11.97
82.99,86.81,84.84,84.12,84.40,84.63±16.51
