Fold1,Fold2,Mean±Std
70.00,50.83,60.42±13.55
76.67,68.33,72.50±5.89
40.83,47.50,44.17±4.71
89.17,94.17,91.67±3.54
30.00,52.50,41.25±15.91
81.67,71.67,76.67±7.07
100.00,100.00,100.00±0.00
57.50,52.50,55.00±3.54
70.00,76.67,73.33±4.71
60.00,65.83,62.92±4.12
100.00,100.00,100.00±0.00
98.33,100.00,99.17±1.18
80.83,68.33,74.58±8.84
55.00,56.67,55.83±1.18
60.83,73.33,67.08±8.84
88.33,90.00,89.17±1.18
70.83,45.83,58.33±17.68
98.33,100.00,99.17±1.18
58.33,65.83,62.08±5.30
38.33,63.33,50.83±17.68
70.83,72.50,71.67±1.18
38.33,75.00,56.67±25.93
49.17,40.00,44.58±6.48
58.33,63.33,60.83±3.54
78.33,76.67,77.50±1.18
61.67,62.50,62.08±0.59
87.50,85.00,86.25±1.77
75.00,70.83,72.92±2.95
56.67,72.50,64.58±11.20
88.33,95.00,91.67±4.71
100.00,100.00,100.00±0.00
91.67,96.67,94.17±3.54
57.50,62.50,60.00±3.54
43.33,34.17,38.75±6.48
56.67,65.00,60.83±5.89
100.00,98.33,99.17±1.18
93.33,90.83,92.08±1.77
85.83,73.33,79.58±8.84
85.00,67.50,76.25±12.37
35.00,51.67,43.33±11.79
73.33,86.67,80.00±9.43
70.00,84.17,77.08±10.02
98.33,96.67,97.50±1.18
96.67,98.33,97.50±1.18
57.50,43.33,50.42±10.02
41.67,66.67,54.17±17.68
29.17,22.50,25.83±4.71
55.83,80.00,67.92±17.09
88.33,98.33,93.33±7.07
77.50,72.50,75.00±3.54
58.33,46.67,52.50±8.25
56.67,60.00,58.33±2.36
50.83,55.00,52.92±2.95
40.83,50.83,45.83±7.07
69.12,71.45,70.29±19.16
