Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
46.25,40.00,36.25,50.00,30.00,40.50±7.94
35.00,28.75,23.75,30.00,36.25,30.75±5.05
21.25,30.00,27.50,32.50,37.50,29.75±6.02
50.00,46.25,50.00,36.25,62.50,49.00±9.41
31.25,22.50,30.00,26.25,32.50,28.50±4.09
35.00,40.00,31.25,31.25,48.75,37.25±7.36
41.25,32.50,48.75,41.25,48.75,42.50±6.73
27.50,23.75,37.50,23.75,33.75,29.25±6.16
27.50,55.00,51.25,43.75,38.75,43.25±10.85
43.75,41.25,40.00,38.75,26.25,38.00±6.82
62.50,63.75,63.75,55.00,37.50,56.50±11.23
36.25,41.25,35.00,47.50,46.25,41.25±5.66
42.50,23.75,33.75,42.50,31.25,34.75±7.97
33.75,36.25,37.50,18.75,32.50,31.75±7.53
37.50,26.25,33.75,22.50,30.00,30.00±5.93
51.25,50.00,40.00,45.00,36.25,44.50±6.41
37.50,38.75,32.50,27.50,38.75,35.00±4.92
40.00,47.50,48.75,57.50,70.00,52.75±11.47
28.75,31.25,40.00,35.00,38.75,34.75±4.79
30.00,30.00,35.00,27.50,33.75,31.25±3.06
35.00,36.25,33.75,45.00,37.50,37.50±4.42
40.00,42.50,36.25,43.75,31.25,38.75±5.08
32.50,26.25,28.75,31.25,35.00,30.75±3.38
31.25,23.75,30.00,30.00,28.75,28.75±2.93
42.50,33.75,43.75,35.00,48.75,40.75±6.29
26.25,31.25,41.25,21.25,35.00,31.00±7.73
40.00,46.25,42.50,55.00,33.75,43.50±7.88
32.50,36.25,30.00,28.75,28.75,31.25±3.19
35.00,48.75,37.50,47.50,47.50,43.25±6.47
50.00,28.75,41.25,36.25,35.00,38.25±7.94
45.00,50.00,38.75,35.00,38.75,41.50±5.96
36.25,46.25,45.00,46.25,46.25,44.00±4.37
31.25,27.50,27.50,36.25,21.25,28.75±5.52
30.00,27.50,33.75,31.25,25.00,29.50±3.38
28.75,30.00,31.25,32.50,21.25,28.75±4.42
72.50,50.00,51.25,60.00,68.75,60.50±10.10
37.50,40.00,35.00,37.50,41.25,38.25±2.44
35.00,30.00,27.50,36.25,32.50,32.25±3.58
47.50,41.25,23.75,43.75,42.50,39.75±9.24
30.00,30.00,35.00,18.75,25.00,27.75±6.15
32.50,46.25,46.25,32.50,21.25,35.75±10.63
28.75,31.25,31.25,22.50,25.00,27.75±3.89
66.25,52.50,50.00,51.25,52.50,54.50±6.65
30.00,32.50,31.25,46.25,42.50,36.50±7.36
35.00,33.75,32.50,45.00,37.50,36.75±4.97
28.75,41.25,37.50,25.00,27.50,32.00±6.99
23.75,28.75,32.50,20.00,28.75,26.75±4.89
47.50,46.25,53.75,45.00,40.00,46.50±4.95
70.00,56.25,48.75,50.00,72.50,59.50±11.13
46.25,41.25,37.50,42.50,43.75,42.25±3.24
27.50,25.00,26.25,33.75,17.50,26.00±5.82
30.00,33.75,32.50,33.75,42.50,34.50±4.73
37.50,27.50,25.00,30.00,27.50,29.50±4.81
21.25,30.00,36.25,25.00,25.00,27.50±5.80
37.82,37.06,37.25,36.78,37.36,37.25±8.50
